delivery_id,origin_postal_code,destination_postal_code,ship_date,expected_delivery_date,actual_delivery_date,package_type,weight_kg,priority,status,carrier,customer_name
DEL-00224,48201,27601,2023-04-16,2023-04-18,,standard,43.5,express,scheduled,USPS,Pacific Fresh
DEL-00225,50309,27601,2023-05-29,2023-06-01,2023-06-01,pharmaceutical,14.5,express,delivered,USPS,ByteStream Hardware
DEL-00226,32801,04101,2023-05-06,2023-05-12,,standard,50.2,standard,scheduled,Amazon Logistics,MediQuick Labs
DEL-00227,98101,37201,2023-05-04,2023-05-07,,live_plants,94.6,express,in_transit,Amazon Logistics,Allied Chemical Corp
DEL-00228,63101,21201,2023-05-07,2023-05-14,2023-05-14,hazmat,60.9,standard,delivered,Amazon Logistics,SecureShip Hazmat
DEL-00229,87101,68102,2023-05-03,2023-05-09,,perishable,11.4,standard,scheduled,Amazon Logistics,SubZero Provisions
DEL-00230,50309,04101,2023-05-22,2023-05-27,,standard,55.8,standard,scheduled,FedEx,Precision Chemicals
DEL-00231,46204,29401,2023-04-23,2023-04-25,,live_plants,5.9,express,in_transit,Amazon Logistics,TechVault Inc
DEL-00232,06103,07102,2023-04-09,2023-04-15,2023-04-15,artwork,22.0,standard,delivered,USPS,Crystal Clear Imports
DEL-00233,68102,43215,2023-04-23,2023-04-25,2023-04-26,fragile,78.6,express,delivered,Amazon Logistics,MegaMart Supply
DEL-00234,46204,59601,2023-04-20,2023-04-21,,pharmaceutical,3.2,overnight,scheduled,FedEx,National Supply Co
DEL-00235,59601,44113,2023-04-18,2023-04-20,2023-04-21,standard,41.9,express,delayed,UPS,BulkBuy Wholesale
DEL-00236,19103,89101,2023-04-07,2023-04-09,,fragile,25.1,express,in_transit,FedEx,ChemCore Solutions
DEL-00237,89101,96813,2023-05-05,2023-05-09,,chemical,53.0,standard,scheduled,FedEx,CircuitPeak Electronics
DEL-00238,93101,06103,2023-05-07,2023-05-08,,pharmaceutical,110.0,overnight,in_transit,UPS,Botanica Direct
DEL-00239,93101,89101,2023-04-27,2023-05-02,2023-05-03,live_plants,62.8,standard,delivered,UPS,NovaRx Distribution
DEL-00240,97201,97401,2023-04-23,2023-04-26,,hazmat,59.7,express,scheduled,DHL Express,Precision Chemicals
DEL-00241,60601,95814,2023-05-01,2023-05-05,,fragile,90.7,standard,scheduled,DHL Express,FrostBite Foods
DEL-00242,27601,96813,2023-04-27,2023-05-04,,pharmaceutical,49.8,standard,in_transit,FedEx,Precision Chemicals
DEL-00243,43215,23219,2023-04-24,2023-04-27,,electronics,54.2,standard,in_transit,FedEx,Heritage Art Movers
DEL-00244,28202,06103,2023-04-13,2023-04-15,,electronics,104.9,express,in_transit,Amazon Logistics,Pinnacle Pharma
DEL-00245,48201,27601,2023-05-19,2023-05-25,2023-05-30,artwork,14.5,standard,delayed,UPS,Delicate Touches
DEL-00246,95814,37201,2023-04-30,2023-05-07,,fragile,34.3,standard,in_transit,USPS,National Supply Co
DEL-00247,27601,29401,2023-05-17,2023-05-18,,fragile,96.4,overnight,scheduled,DHL Express,Artisan Glass Co
DEL-00248,60601,37201,2023-04-10,2023-04-13,2023-04-14,fragile,26.9,standard,delivered,Amazon Logistics,Allied Chemical Corp
DEL-00249,97201,99501,2023-05-24,2023-05-28,,fragile,45.9,standard,in_transit,USPS,ChemCore Solutions
DEL-00250,94102,92101,2023-05-02,2023-05-05,2023-05-05,electronics,77.2,express,delivered,DHL Express,Delicate Touches
DEL-00251,33101,04101,2023-05-04,2023-05-07,,frozen,114.9,standard,scheduled,Amazon Logistics,Pacific Fresh
DEL-00252,21201,89101,2023-04-05,2023-04-09,2023-04-10,perishable,75.9,standard,delivered,UPS,Botanica Direct
DEL-00253,50309,63101,2023-05-02,2023-05-04,2023-05-05,perishable,58.2,express,delivered,Amazon Logistics,Heritage Art Movers
DEL-00254,53202,10001,2023-05-23,2023-05-26,,perishable,2.5,express,scheduled,Amazon Logistics,Gallery Moderne
DEL-00255,30301,01201,2023-04-17,2023-04-22,2023-04-22,hazmat,74.6,standard,delivered,UPS,Bloom & Grow Nursery
DEL-00256,07102,43215,2023-05-14,2023-05-17,,artwork,27.5,standard,scheduled,UPS,ByteStream Hardware
DEL-00257,94102,93101,2023-05-11,2023-05-14,,perishable,57.4,standard,scheduled,DHL Express,Precision Chemicals
DEL-00258,07102,85001,2023-04-07,2023-04-09,2023-04-08,chemical,117.3,express,delivered,USPS,HazSafe Transport
DEL-00259,83702,80202,2023-05-13,2023-05-14,2023-05-14,electronics,65.4,overnight,delivered,USPS,SecureShip Hazmat
DEL-00260,02101,32801,2023-04-11,2023-04-13,,standard,9.7,express,in_transit,DHL Express,Heritage Art Movers
DEL-00261,43215,92101,2023-05-17,2023-05-20,,hazmat,118.6,standard,in_transit,UPS,Glacier Cold Chain
DEL-00262,55401,06103,2023-05-10,2023-05-17,2023-05-17,perishable,72.8,standard,delivered,FedEx,FreshDirect Farms
DEL-00263,02101,94102,2023-05-31,2023-06-01,,electronics,43.0,overnight,in_transit,DHL Express,ChemCore Solutions
DEL-00264,89101,97201,2023-05-16,2023-05-19,2023-05-19,standard,95.9,standard,delivered,Amazon Logistics,Gallery Moderne
DEL-00265,43215,96813,2023-04-06,2023-04-09,2023-04-13,live_plants,43.6,standard,delayed,DHL Express,FreshDirect Farms
DEL-00266,63101,93101,2023-05-06,2023-05-13,,electronics,54.1,standard,in_transit,UPS,Crystal Clear Imports
DEL-00267,02101,01201,2023-04-25,2023-04-28,2023-04-28,fragile,39.3,standard,delivered,Amazon Logistics,Glacier Cold Chain
DEL-00268,93101,07102,2023-05-14,2023-05-17,2023-05-17,frozen,62.8,express,delivered,UPS,HazSafe Transport
DEL-00269,27601,35203,2023-05-01,2023-05-04,2023-05-04,standard,50.8,standard,delivered,DHL Express,SafeHaul Logistics
DEL-00270,96813,90001,2023-04-01,2023-04-04,2023-04-05,standard,16.7,express,delivered,DHL Express,Artisan Glass Co
DEL-00271,43215,48201,2023-05-09,2023-05-13,,standard,36.4,standard,in_transit,Amazon Logistics,MegaMart Supply
DEL-00272,30301,53202,2023-04-21,2023-04-27,2023-04-27,artwork,93.9,standard,delivered,DHL Express,HazSafe Transport
DEL-00273,63101,03101,2023-05-06,2023-05-09,,artwork,82.0,standard,cancelled,Amazon Logistics,FrostBite Foods
DEL-00274,50309,96813,2023-05-21,2023-05-24,,electronics,101.8,express,scheduled,FedEx,Botanica Direct
DEL-00275,04101,94102,2023-04-25,2023-04-28,,electronics,51.1,standard,in_transit,UPS,ByteStream Hardware
DEL-00276,88001,80202,2023-04-24,2023-05-01,,standard,4.9,standard,in_transit,DHL Express,Precision Chemicals
DEL-00277,07102,03101,2023-04-03,2023-04-06,,live_plants,77.8,express,cancelled,USPS,FrostBite Foods
DEL-00278,48201,68102,2023-05-06,2023-05-13,,perishable,89.7,standard,scheduled,UPS,Evergreen Gardens
DEL-00279,32801,50309,2023-04-23,2023-04-26,,fragile,60.3,standard,in_transit,Amazon Logistics,ByteStream Hardware
DEL-00280,70112,44113,2023-04-30,2023-05-04,,hazmat,37.8,standard,in_transit,UPS,MediQuick Labs
DEL-00281,55401,84101,2023-04-03,2023-04-05,2023-04-05,perishable,8.5,express,delivered,DHL Express,FreshDirect Farms
DEL-00282,94102,01201,2023-04-11,2023-04-16,,standard,21.3,standard,in_transit,UPS,Evergreen Gardens
DEL-00283,50309,32801,2023-04-26,2023-04-28,,live_plants,79.0,express,scheduled,UPS,Pacific Fresh
DEL-00284,28202,50309,2023-05-16,2023-05-19,,standard,33.8,standard,in_transit,UPS,Bloom & Grow Nursery
DEL-00285,59601,30301,2023-05-02,2023-05-09,,fragile,80.6,standard,cancelled,FedEx,SafeHaul Logistics
DEL-00286,60601,81501,2023-04-30,2023-05-07,2023-05-06,fragile,42.6,standard,delivered,FedEx,MediQuick Labs
DEL-00287,95814,27601,2023-04-20,2023-04-22,2023-04-21,hazmat,14.6,express,delivered,UPS,FreshDirect Farms
DEL-00288,12207,87101,2023-05-02,2023-05-04,,fragile,51.1,express,in_transit,Amazon Logistics,CircuitPeak Electronics
DEL-00289,84101,70112,2023-04-23,2023-04-26,,pharmaceutical,6.9,standard,in_transit,DHL Express,Studio Lumiere
DEL-00290,28202,46204,2023-04-27,2023-05-03,,artwork,82.3,standard,in_transit,DHL Express,Crystal Clear Imports
DEL-00291,07102,97201,2023-05-05,2023-05-08,2023-05-08,perishable,33.3,express,delivered,USPS,Pinnacle Pharma
DEL-00292,83702,97401,2023-04-18,2023-04-25,,live_plants,68.9,standard,scheduled,Amazon Logistics,Artisan Glass Co
DEL-00293,63101,82001,2023-04-28,2023-05-01,,chemical,26.6,standard,scheduled,DHL Express,Precision Chemicals
DEL-00294,94102,93101,2023-05-26,2023-05-27,,electronics,31.9,overnight,in_transit,FedEx,BulkBuy Wholesale
DEL-00295,03101,29401,2023-05-11,2023-05-14,2023-05-14,electronics,85.4,express,delivered,USPS,Allied Chemical Corp
DEL-00296,37201,32801,2023-04-11,2023-04-14,,live_plants,71.8,express,cancelled,Amazon Logistics,SafeHaul Logistics
DEL-00297,70112,27601,2023-04-07,2023-04-08,,standard,81.7,overnight,cancelled,Amazon Logistics,SecureShip Hazmat
DEL-00298,53202,06103,2023-04-16,2023-04-17,,artwork,104.0,overnight,scheduled,UPS,ByteStream Hardware
DEL-00299,23219,93101,2023-05-11,2023-05-17,2023-05-17,chemical,76.1,standard,delivered,UPS,HazSafe Transport
DEL-00300,90001,07102,2023-04-21,2023-04-23,2023-04-24,fragile,114.1,express,delayed,USPS,BulkBuy Wholesale
